Szklenice|9.2104379736|0.108543|84.8552|15.0412430749384|15.0465941594229|51.2853632694406|51.2883307779764
Szabelnia|32.636360601|0.223977|145.713|20.4436893645718|20.4517041335368|51.1743983899281|51.180022280234
Szczedrzykowice-Stacja|19.652197602|0.267985|73.3332|16.3475436963637|16.3560569404798|51.211416264995|51.2172934579845
Szydło|62.701755801|0.276503|226.767|19.8797162494182|19.8914087211563|50.1213803746548|50.1272892565502
Szepietowo Podleśne|17.884707863600003|0.376076|47.5561|22.5204733882189|22.5295534692793|52.8471289914543|52.8549021804605
Szumiłówka|8.2328881912|0.416366|19.7732|22.984299261227|23.0082730503719|52.4139571818022|52.4191907470297
Szreniawa|17.423761814400002|0.497492|35.0232|20.0575826756739|20.0682846649797|51.0651351843297|51.0731770645392
Szeligi-Kolonia|20.3784096345|0.679269|30.0005|22.2868252659121|22.3013682717098|53.0560282935304|53.0653912867573
Szyby|83.572755446|0.745081|112.166|21.3374153355679|21.3553519968459|50.8955674951538|50.9063738460914
Szyszkówka|27.2921090274|0.752838|36.2523|17.9493286913304|17.9680902755339|53.4504088625228|53.4598767629301
Szklana|123.386623128|0.754008|163.641|20.2454912786592|20.2652546640674|50.1774862540824|50.1874062405179
Szymbory-Jakubowięta|39.4646198094|0.829854|47.5561|22.5984800332199|22.626697284104|52.9031089518016|52.9127398674896
Szymanowice Górne|76.01809149479999|0.899318|84.5286|21.4295146609146|21.4465765427689|50.6422484860742|50.6584761544902
Szwedy|29.801829301599994|0.916252|32.5258|20.1610793761878|20.1800878174313|50.9986540892411|51.0081784883614
Szczepany|23.496448039999997|1.0412|22.5667|22.9653386103566|22.9967406584174|52.8115705728509|52.8225809510341
Szczeberka|15.1387173|1.04477|14.49|22.9340722079036|22.956996135976|53.9238053745344|53.9405207824995
Szlachcin-Huby|163.37502144|1.08336|150.804|17.3813690326089|17.3990142804088|52.1944019787636|52.2055401855673
Szyjki|29.408693247999995|1.18528|24.8116|22.3902501910349|22.41455959077|53.3560171747614|53.373036152763
Szlasy-Mieszki|36.325874976|1.25234|29.0064|22.5258904090452|22.5441485773634|53.0587832441094|53.0772193900288
Szlasy|31.912928036|1.28621|24.8116|22.4089846461167|22.4358164253381|53.3579577840881|53.3723329436883
Szczygłów|302.06502802000006|1.29113|233.954|20.1392610945671|20.167773262359|49.96850357176|49.9766992566334
Szrapki|49.552820883|1.31037|37.8159|17.3494965368338|17.3679653600861|52.2705199561527|52.2850356875226
Szerokie|182.59242915999997|1.32866|137.426|22.4644465419267|22.4867273660872|51.24643267186|51.2554715874063
Szerszenie|39.090981413|1.41361|27.6533|22.9495689550385|22.9774230170531|52.3941539683479|52.4086447417639
Szczeglin|98.55069218|1.44458|68.221|20.9854044727732|21.0144017308185|50.4097770843906|50.4240400610164
Szczepanów|85.63248624|1.45012|59.052|20.3433891393333|20.3727572219279|50.7304567560537|50.7444282810161
Szlachęcin|476.17610719999993|1.46765|324.448|16.9636523356618|16.9888950849771|52.5509029706992|52.5668321894645
Szczotkowice|73.43333826|1.4786|49.6641|20.3272474916561|20.3478581680403|50.3443000605592|50.3596407422708
Szczęście|140.459067799|1.48439|94.6241|21.655669665942|21.680598543897|51.3568285479358|51.3685135645763
Szóstaki|94.41992254|1.5118|62.4553|20.2441637483323|20.2696822804398|51.0179549494855|51.0348750772455
Szpitary|161.78500985|1.51477|106.805|20.3530208758097|20.3718698660902|50.1412614410121|50.1582906756336
Szymbory-Włodki|72.482629815|1.52415|47.5561|22.5938065479543|22.6284345360319|52.8977320726917|52.9096868898366
Szczęsna|322.28890792|1.54667|208.376|20.8480563777447|20.8818410274336|51.8836107951314|51.9000208492503
Szlichtyngowa|79.77357613000001|1.54831|51.523|16.2250503225365|16.2537420635536|51.700098059294|51.7161632894123
Szyndziel|132.192570006|1.57353|84.0102|23.3851108323368|23.4112027590902|53.4226949905184|53.4452932897408
Szczepiatyn-Osada|55.13455196100001|1.62243|33.9827|23.8173793385714|23.8618710081317|50.4131263736146|50.4255586804776
Szczytna|293.75037019999996|1.66915|175.988|22.5948121220833|22.6225947680329|50.0009475416757|50.0171635724024
Szczelatyn|59.01274008000001|1.7676|33.3858|23.4901934186534|23.5149173908921|50.8122421862589|50.8293882677874
Szalenik-Kolonia|181.78095362000002|1.77394|102.473|23.4622096399117|23.490118050001|50.3669525863707|50.3845441875381
Szczucice|89.89031526000001|1.7834|50.4039|21.3911155452742|21.4173440159507|50.848919177683|50.8621375703133
Sześciwłóki|39.834707042000005|1.82806|21.7907|22.8355015090817|22.8595233580943|54.3112110728214|54.3256322827529
Szlachecki Las|89.44342275|1.8535|48.2565|21.7498134670438|21.7687788789852|51.2932079658018|51.3115313412481
Szewce|190.63267019999998|1.87686|101.57|21.6158283949444|21.6397913144744|50.6223998563759|50.6409137729591
Szafranki|58.398978645|1.88195|31.0311|22.6079003961099|22.6588542763296|53.2280482898792|53.2491088830106
Szczekarzów|148.91408884799998|1.90254|78.2712|20.4071749143975|20.4381555627586|50.2840891723681|50.3061484779742
Szczepki|27.779358600000002|1.91714|14.49|22.9434547517202|22.9890050858428|53.9505270953517|53.9640505709936
Szymaki|61.363250963999995|1.93132|31.7727|23.6790642071395|23.706503427156|53.4382910734821|53.454003342229
Szlasy-Łopienite|57.984663792|1.99903|29.0064|22.5180094890576|22.5361281490122|53.0575149855889|53.0773793426567
Szalenik|64.344254142|2.06346|31.1827|23.4811665178578|23.5063238373896|50.3643611494489|50.3805436799683
